CountryName,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
Afghanistan,17.49379733,17.88819828,18.28358151,18.67994948,19.22596743,19.52440561,19.69887128,19.87421408,20.05044011
Albania,70.0589939,69.91017759,69.54545686,69.47852969,69.21898721,69.06584436,68.80733784,68.54962065,68.29268335
Algeria,18.33333307,19.02097955,19.69057708,20.3677514,20.53445949,20.69930097,20.86230832,21.0526322,21.24137878
American Samoa,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..
Angola,82.39896125,80.38961237,79.40414723,80.41504699,81.42857242,81.68831367,82.05461277,82.31469178,82.68228838
Antigua and Barbuda,..,..,..,..,..,..,..,..,..
Argentina,63.44647447,64.16337257,64.67463319,65.41554991,62.7503325,63.01735621,63.06666565,63.33333333,63.38215638
Armenia,73.16017104,71.49059713,69.85507357,72.886299,70.40110564,74.30938965,74.86111323,74.65565,74.55540511
Aruba,..,..,..,..,..,..,..,..,..
Australia,79.66804432,80.05502504,80.6318658,81.21546685,81.10344722,81.49171099,81.78024755,81.89414587,81.86890274
Austria,76.95716517,76.74418153,78.07017593,79.55882129,79.61595858,79.91137506,80.64992753,80.64992753,80.7976414
Azerbaijan,87.33624842,88.56305605,89.95569316,90.17595711,91.69139145,91.33627336,90.71117361,90.37356739,89.75817316
"Bahamas, The",86.95652513,87.02290439,87.08861146,87.13744743,87.26354891,87.26354891,87.38966001,87.38966001,87.38966001
Bahrain,43.89086437,44.19695125,44.54756715,44.76409763,45.06880804,45.13172984,45.18348957,45.10932114,45.09803904
Bangladesh,65.80188352,66.23376682,66.62721803,67.06160835,67.57720141,67.89536208,68.13317512,68.25208391,68.57142675
Barbados,85.58322469,85.84534388,85.99475869,85.78879488,85.91917099,85.91917099,85.91917099,86.0313353,85.90078898
Belarus,80.89887984,80.64516129,80.51948004,80.39215711,80.22690338,79.90353722,79.58532842,79.3977808,79.33753632
Belgium,75.32894706,76.26841185,77.26524042,77.90697829,78.54785425,78.78787548,78.9562295,80.10118147,80.26981296
Belize,56.36588086,57.19556981,58.03680888,58.65853472,59.43970785,59.61070781,59.65977722,59.78128668,60.02430096
Benin,84.37103444,84.73282413,84.98728289,85.35031847,85.84183896,85.96938803,86.20689319,86.33460516,86.5728895
Bermuda,..,..,..,..,..,..,..,..,..
Bhutan,83.6575892,84.98694487,86.07096099,86.8874152,86.71052832,86.40522676,86.34590404,86.39896319,86.21134387
Bolivia,75.55282414,76.72413987,77.18865555,78.0246923,78.73918364,78.98640336,79.23361837,79.35722588,79.60445032
Bosnia and Herzegovina,55.59502604,54.13793038,55.57461741,57.24258233,59.44055865,59.44055865,59.61538115,59.51134193,59.58188128
Botswana,88.00988332,88.14815003,88.16276368,88.17734134,88.19187485,88.2063903,88.09816325,88.11274862,88.11274862
Brazil,71.84822883,71.92118685,71.86732052,72.53695042,73.24291325,73.45679012,73.54758823,73.5148506,73.69727376
Brunei Darussalam,70.80103121,70.55772063,70.44270355,70.41884576,70.30223531,70.18469475,69.9735484,69.85391281,69.60000102
Bulgaria,80.37866091,79.96661153,78.67528201,78.5597401,79.83193277,80.96055125,81.29251676,81.18644326,81.08108004
Burkina Faso,85.17698971,85.28760749,85.28760749,85.39822527,85.4927955,85.58758266,85.57158688,85.66666497,85.65072157
Burundi,101.8359854,101.8404908,101.9656001,101.8427518,101.8404908,101.7135882,101.7114839,101.5853696,101.5834386
Cabo Verde,58.31325485,58.91566449,59.51807413,60.12048377,60.64982244,60.86434442,61.19760296,61.52927345,61.85935707
Cambodia,89.76743831,90.93022901,91.86991856,91.76334255,91.54113234,91.3194446,91.2138746,91.09826942,90.87759623
Cameroon,81.65137188,81.91349607,82.19895024,82.46073134,82.74509704,82.89817398,82.92047067,83.07291237,83.22496584
Canada,84.76454758,85.49723787,85.41953381,86.21169763,86.43356537,86.53576174,86.5168555,86.76056123,86.72316226
Cayman Islands,..,..,..,..,..,..,..,..,..
Central African Republic,83.9390339,84.0562654,84.40796884,84.74178349,85.09389976,85.19389107,85.19389107,85.31139809,85.41176291
Chad,80.83227744,80.83227744,80.83227744,80.93434463,80.93434463,80.80808392,80.80808392,80.80808392,80.80808392
Channel Islands,76.88889115,77.3809559,77.94336874,78.2089575,78.46385132,78.58219619,78.81996925,78.78787879,79.02735196
Chile,53.06122449,54.42176871,56.89188983,58.11732156,62.98788333,65.0200264,65.68364746,65.77539941,65.8666687
China,83.2911431,82.95165167,82.50318768,82.28497717,81.82989852,81.87660445,81.69014146,81.60919417,81.63265147
Colombia,65.68877423,65.16709354,65.17856821,68.17042537,69.38519618,69.63613817,69.88708017,70.01254877,70.26349077
Comoros,41.22807051,41.67709462,42.19725328,42.6433941,43.14214438,43.3915219,43.64089942,43.94507045,44.30538279
"Congo, Dem. Rep.",97.12722501,96.99042819,96.85363137,96.85363137,96.71682411,96.71682411,96.58469931,96.58469931,96.45292497
"Congo, Rep.",94.1585473,94.04432742,94.06076939,93.93939171,93.81868158,93.82716062,93.82716062,93.83561644,93.83561644
Costa Rica,54.79451847,55.67901046,56.25,57.66793298,58.4283873,58.60759397,58.73417915,58.98733984,59.11392502
Cote d'Ivoire,61.99756696,62.43902532,62.88156171,63.20293256,63.6474932,63.84803854,64.04908069,64.37346504,64.57564333
Croatia,77.03827024,74.67320293,75.61779399,77.25752735,77.32656843,75.50675707,76.58119528,76.5410952,76.5410952
Cuba,58.86736348,60.79881568,60.67251327,61.19829167,61.48359403,61.62625065,61.76890183,62.00000218,62.14285714
Curacao,..,..,..,..,..,..,..,..,..
